filepath,origin,license
docs/img/svg/Breathe_Icon_Theme_computer.svg,https://commons.wikimedia.org/wiki/File:Breathe-system-search.svg,CC BY-SA 3.0 Deed
docs/img/svg/GitHub_Invertocat_Logo.svg,https://en.wikipedia.org/wiki/GitHub#/media/File:GitHub_Invertocat_Logo.svg,CC BY 4.0 Deed
